Atomic Li wave function in real space
Atomic number
  3
Total number of orbitals
 15
The [2S] state electronic configuration
Number of up, downspin electrons, determinants 
  2  1   252
  1  2  1  0
  2  3  1  0
  1  2  0  0
  1  2  0  0
  2  4  1  1
  1  2  1  1
  1  2  0  0
  2  4  1 -1
  1  2  1 -1
  1  2  1  1
  2  4  1  1
  1  2  0  0
  1  2  1 -1
  2  4  1 -1
  1  2  0  0
  1  2  0  0
  2  4  1  0
  1  2  1  0
  1  2  1  0
  2  4  1  0
  1  2  0  0
  1  2  0  0
  2  2  1  1
  1  4  1  1
  1  2  0  0
  2  2  1 -1
  1  4  1 -1
  1  2  0  0
  2  4  1  1
  1  2  1  1
  1  2  0  0
  2  4  1 -1
  1  2  1 -1
  1  2  1  1
  2  4  1  1
  1  2  0  0
  1  2  1 -1
  2  4  1 -1
  1  2  0  0
  1  2  0  0
  2  2  1  0
  1  4  1  0
  1  2  0  0
  2  4  1  0
  1  2  1  0
  1  2  1  0
  2  4  1  0
  1  2  0  0
  1  2  0  0
  2  5  1  1
  1  2  1  1
  1  2  0  0
  2  5  1 -1
  1  2  1 -1
  1  2  1  1
  2  5  1  1
  1  2  0  0
  1  2  1 -1
  2  5  1 -1
  1  2  0  0
  1  2  0  0
  2  5  1  0
  1  2  1  0
  1  2  1  0
  2  5  1  0
  1  2  0  0
  1  2  0  0
  2  2  1  1
  1  5  1  1
  1  2  0  0
  2  2  1 -1
  1  5  1 -1
  1  2  0  0
  2  5  1  1
  1  2  1  1
  1  2  0  0
  2  5  1 -1
  1  2  1 -1
  1  2  1  1
  2  5  1  1
  1  2  0  0
  1  2  1 -1
  2  5  1 -1
  1  2  0  0
  1  2  0  0
  2  2  1  0
  1  5  1  0
  1  2  0  0
  2  5  1  0
  1  2  1  0
  1  2  1  0
  2  5  1  0
  1  2  0  0
  1  2  0  0
  2  6  1  1
  1  2  1  1
  1  2  0  0
  2  6  1 -1
  1  2  1 -1
  1  2  1  1
  2  6  1  1
  1  2  0  0
  1  2  1 -1
  2  6  1 -1
  1  2  0  0
  1  2  0  0
  2  6  1  0
  1  2  1  0
  1  2  1  0
  2  6  1  0
  1  2  0  0
  1  2  0  0
  2  2  1  1
  1  6  1  1
  1  2  0  0
  2  2  1 -1
  1  6  1 -1
  1  2  0  0
  2  6  1  1
  1  2  1  1
  1  2  0  0
  2  6  1 -1
  1  2  1 -1
  1  2  1  1
  2  6  1  1
  1  2  0  0
  1  2  1 -1
  2  6  1 -1
  1  2  0  0
  1  2  0  0
  2  2  1  0
  1  6  1  0
  1  2  0  0
  2  6  1  0
  1  2  1  0
  1  2  1  0
  2  6  1  0
  1  2  0  0
  1  2  0  0
  2  7  1  1
  1  2  1  1
  1  2  0  0
  2  7  1 -1
  1  2  1 -1
  1  2  1  1
  2  7  1  1
  1  2  0  0
  1  2  1 -1
  2  7  1 -1
  1  2  0  0
  1  2  0  0
  2  7  1  0
  1  2  1  0
  1  2  1  0
  2  7  1  0
  1  2  0  0
  1  2  0  0
  2  2  1  1
  1  7  1  1
  1  2  0  0
  2  2  1 -1
  1  7  1 -1
  1  2  0  0
  2  7  1  1
  1  2  1  1
  1  2  0  0
  2  7  1 -1
  1  2  1 -1
  1  2  1  1
  2  7  1  1
  1  2  0  0
  1  2  1 -1
  2  7  1 -1
  1  2  0  0
  1  2  0  0
  2  2  1  0
  1  7  1  0
  1  2  0  0
  2  7  1  0
  1  2  1  0
  1  2  1  0
  2  7  1  0
  1  2  0  0
  1  2  0  0
  2  3  0  0
  1  3  0  0
  1  2  0  0
  2  4  0  0
  1  3  0  0
  1  3  0  0
  2  4  0  0
  1  2  0  0
  1  2  0  0
  2  3  0  0
  1  4  0  0
  1  2  0  0
  2  4  0  0
  1  3  0  0
  1  3  0  0
  2  4  0  0
  1  2  0  0
  1  2  0  0
  2  5  0  0
  1  3  0  0
  1  3  0  0
  2  5  0  0
  1  2  0  0
  1  2  0  0
  2  3  0  0
  1  5  0  0
  1  2  0  0
  2  5  0  0
  1  3  0  0
  1  3  0  0
  2  5  0  0
  1  2  0  0
  1  2  0  0
  2  6  0  0
  1  3  0  0
  1  3  0  0
  2  6  0  0
  1  2  0  0
  1  2  0  0
  2  3  0  0
  1  6  0  0
  1  2  0  0
  2  6  0  0
  1  3  0  0
  1  3  0  0
  2  6  0  0
  1  2  0  0
  1  2  0  0
  2  7  0  0
  1  3  0  0
  1  3  0  0
  2  7  0  0
  1  2  0  0
  1  2  0  0
  2  3  0  0
  1  7  0  0
  1  2  0  0
  2  7  0  0
  1  3  0  0
  1  3  0  0
  2  7  0  0
  1  2  0  0
  1  2  0  0
  2  3  1  0
  1  3  1  0
  1  2  0  0
  2  3  1 -1
  1  3  1 -1
  1  2  0  0
  2  3  1  1
  1  3  1  1
  1  2  0  0
  2  4  1  1
  1  3  1  1
  1  2  0  0
  2  4  1 -1
  1  3  1 -1
  1  3  1  1
  2  4  1  1
  1  2  0  0
  1  3  1 -1
  2  4  1 -1
  1  2  0  0
  1  2  0  0
  2  4  1  0
  1  3  1  0
  1  3  1  0
  2  4  1  0
  1  2  0  0
  1  2  0  0
  2  3  1  1
  1  4  1  1
  1  2  0  0
  2  3  1 -1
  1  4  1 -1
  1  2  0  0
  2  4  1  1
  1  3  1  1
  1  2  0  0
  2  4  1 -1
  1  3  1 -1
  1  3  1  1
  2  4  1  1
  1  2  0  0
  1  3  1 -1
  2  4  1 -1
  1  2  0  0
  1  2  0  0
  2  3  1  0
  1  4  1  0
  1  2  0  0
  2  4  1  0
  1  3  1  0
  1  3  1  0
  2  4  1  0
  1  2  0  0
  1  2  0  0
  2  3  1  1
  1  5  1  1
  1  2  0  0
  2  3  1 -1
  1  5  1 -1
  1  2  0  0
  2  5  1  1
  1  3  1  1
  1  2  0  0
  2  5  1 -1
  1  3  1 -1
  1  3  1  1
  2  5  1  1
  1  2  0  0
  1  3  1 -1
  2  5  1 -1
  1  2  0  0
  1  2  0  0
  2  3  1  0
  1  5  1  0
  1  2  0  0
  2  5  1  0
  1  3  1  0
  1  3  1  0
  2  5  1  0
  1  2  0  0
  1  2  0  0
  2  3  1  1
  1  6  1  1
  1  2  0  0
  2  3  1 -1
  1  6  1 -1
  1  2  0  0
  2  6  1  1
  1  3  1  1
  1  2  0  0
  2  6  1 -1
  1  3  1 -1
  1  3  1  1
  2  6  1  1
  1  2  0  0
  1  3  1 -1
  2  6  1 -1
  1  2  0  0
  1  2  0  0
  2  3  1  0
  1  6  1  0
  1  2  0  0
  2  6  1  0
  1  3  1  0
  1  3  1  0
  2  6  1  0
  1  2  0  0
  1  2  0  0
  2  3  1  1
  1  7  1  1
  1  2  0  0
  2  3  1 -1
  1  7  1 -1
  1  2  0  0
  2  7  1  1
  1  3  1  1
  1  2  0  0
  2  7  1 -1
  1  3  1 -1
  1  3  1  1
  2  7  1  1
  1  2  0  0
  1  3  1 -1
  2  7  1 -1
  1  2  0  0
  1  2  0  0
  2  3  1  0
  1  7  1  0
  1  2  0  0
  2  7  1  0
  1  3  1  0
  1  3  1  0
  2  7  1  0
  1  2  0  0
  1  2  0  0
  2  4  1  0
  1  4  1  0
  1  2  0  0
  2  4  1 -1
